timestamp,tvx,tvy,tvz,rvx,rvy,rvz
17330.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17330.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17330.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17330.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17330.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17331.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17332.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17333.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17334.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17335.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.1625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.6575,-80.0,75.0,30.0,0.0,0.0,0.0
17336.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.8625,-80.0,75.0,30.0,0.0,0.0,0.0
17336.9625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.0625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.165,-80.0,75.0,30.0,0.0,0.0,0.0
17337.2625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.3625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.4625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.5625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.6625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.7625,-80.0,75.0,30.0,0.0,0.0,0.0
17337.86,-80.0,75.0,30.0,0.0,0.0,0.0
17337.9625,-80.0,75.0,30.0,0.0,0.0,0.0
