timestamp,tvx,tvy,tvz,rvx,rvy,rvz
27098.01,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.11,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.21,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.31,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.41,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.51,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.61,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.71,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.81,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27098.91,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.01,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.11,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.21,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.31,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.41,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.51,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.61,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.71,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.81,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27099.91,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.01,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.11,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.21,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.31,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.41,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.51,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.61,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
27100.71,-79.54060612672498,77.18443839828406,29.0,0.0,0.0,0.0
