timestamp,tvx,tvy,tvz,rvx,rvy,rvz
21129.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21129.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21129.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21130.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21131.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21132.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21133.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21134.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.6525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.7525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.8525,-80.0,75.0,29.0,0.0,0.0,0.0
21135.9525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.0525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.1525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.2525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.3525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.4525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.5525,-80.0,75.0,29.0,0.0,0.0,0.0
21136.6525,-80.0,75.0,29.0,0.0,0.0,0.0
