timestamp,tvx,tvy,tvz,rvx,rvy,rvz
1895.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1895.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1895.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.015,-80.0,75.0,25.0,0.0,0.0,0.0
1896.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.415,-80.0,75.0,25.0,0.0,0.0,0.0
1896.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1896.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1897.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.7075,-80.0,75.0,25.0,0.0,0.0,0.0
1898.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1898.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.11,-80.0,75.0,25.0,0.0,0.0,0.0
1899.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1899.815,-80.0,75.0,25.0,0.0,0.0,0.0
1899.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.12,-80.0,75.0,25.0,0.0,0.0,0.0
1900.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.3075,-80.0,75.0,25.0,0.0,0.0,0.0
1900.41,-80.0,75.0,25.0,0.0,0.0,0.0
1900.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1900.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1901.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1901.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1901.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1901.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1901.4125,-80.0,75.0,25.0,0.0,0.0,0.0
