timestamp,tvx,tvy,tvz,rvx,rvy,rvz
20941.465,-80.0,75.0,29.0,0.0,0.0,0.0
20941.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20941.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20941.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20941.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20941.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20942.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20943.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20944.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20945.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20946.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.47,-80.0,75.0,29.0,0.0,0.0,0.0
20947.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.7675,-80.0,75.0,29.0,0.0,0.0,0.0
20947.87,-80.0,75.0,29.0,0.0,0.0,0.0
20947.965,-80.0,75.0,29.0,0.0,0.0,0.0
20948.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.6675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.765,-80.0,75.0,29.0,0.0,0.0,0.0
20948.8675,-80.0,75.0,29.0,0.0,0.0,0.0
20948.9675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.0675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.1675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.2675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.3675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.4675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.5675,-80.0,75.0,29.0,0.0,0.0,0.0
20949.675,-80.0,75.0,29.0,0.0,0.0,0.0
